Source,X,Y
146,32.210039,118.723137
147,32.092606,118.781370
148,32.134169,118.825610
149,32.312427,118.705606
150,32.109518,118.843494
151,32.131031,118.845141
152,32.137850,118.713343
153,32.306198,118.711336
154,32.208516,118.698558
155,32.306992,118.715241
156,32.106861,118.830134
157,32.128433,118.724439
158,32.307305,118.716521
159,32.011479,118.600187
160,32.208426,118.712063
161,32.198335,118.695015
162,32.208357,118.712074
163,32.133541,118.704395
164,32.280449,118.789859
165,32.210114,118.722050
166,32.128233,118.802987
167,32.019295,118.705251
168,32.130577,118.829155
169,32.273966,118.799620
170,32.273105,118.800178
171,32.272478,118.800545
172,32.271749,118.800903
173,32.270887,118.801452
174,32.269811,118.802086
175,32.268834,118.802452
176,32.266304,118.800866
177,32.134856,118.824273
178,32.129878,118.827717
179,32.106569,118.840163
180,32.129087,118.805884
181,32.111733,118.833597
182,32.136536,118.817231
183,32.108810,119.006688
184,32.137318,118.818812
185,32.101073,118.816102
186,32.131404,118.846579
187,32.136682,118.818426
188,32.041832,118.798168
189,32.041966,118.797512
190,32.105258,119.027125
191,32.129178,118.924901
192,32.129006,118.925018
193,32.128201,118.925512
194,32.126364,118.926640
195,32.135185,118.839871
196,32.124108,118.927996
197,32.120632,118.930122
198,32.120323,118.930297
199,32.120056,118.930430
200,32.122527,118.796872
201,32.119583,118.930605
202,32.119390,118.930659
203,32.118984,118.930727
204,32.106751,118.826553
205,32.118468,118.930764
206,32.132331,118.828490
207,32.111179,118.822030
208,32.117602,118.930661
209,32.115864,118.930176
210,32.108226,118.836440
211,32.113737,118.929522
212,31.424754,119.029371
213,32.126570,118.800680
214,32.112717,118.929382
215,32.112203,118.929400
216,32.128718,119.002649
217,32.111289,118.929631
218,32.108617,118.805184
219,31.934008,118.700409
220,32.109098,118.930976
221,32.108956,118.931072
222,32.129423,118.826559
223,32.106975,118.932440
224,32.109291,118.930848
225,32.109515,118.930700
226,32.109574,118.930865
227,32.109375,118.930998
228,32.124844,118.799307
229,32.111961,118.929434
230,32.113406,118.929642
231,32.116157,118.930257
232,32.073784,118.749619
233,32.179913,119.040897
234,32.101023,118.818843
235,31.938361,118.622626
236,32.131450,118.816963
237,32.118989,118.935907
238,32.118995,118.936297
239,32.126298,118.800251
240,32.131075,118.922844
241,32.072966,118.748670
242,32.132206,118.922242
243,32.132645,118.922158
244,32.193862,119.170754
245,32.133499,118.921611
246,32.073247,118.756158
247,32.132312,118.922050
248,32.131830,118.922200
249,32.117075,118.953071
250,32.131106,118.922597
251,32.128094,118.839351
252,32.125917,118.848101
253,32.135829,118.822310
254,32.145186,118.923193
255,32.018071,118.776635
256,32.028652,118.711318
257,32.137408,118.909599
258,32.137154,118.908924
259,32.125707,118.837208
260,32.129187,118.804446
261,31.424525,119.028711
262,32.123106,118.836461
263,32.124277,118.836983
264,32.124226,118.798352
265,32.060091,118.743518
266,32.073530,118.756141
267,32.101015,118.820749
268,32.106497,118.821346
269,32.127733,118.802268
270,32.059386,118.802919
271,32.073788,118.757761
272,32.094573,118.605861
273,32.059415,118.806186
274,32.059295,118.807336
275,32.125340,118.899825
276,32.059493,118.807682
277,32.059620,118.807731
278,32.074576,118.758663
279,32.130864,118.829645
280,32.062254,118.808551
281,32.063649,118.809028
282,32.063962,118.809139
283,32.064735,118.809405
284,32.067261,118.810347
285,31.864634,119.085843
286,32.137919,118.953169
287,32.129242,118.825314
